Front,Back
AACA,ASD-Approved Cryptographic Algorithm
AACP,ASD-Approved Cryptographic Protocol
AD CS,Active Directory Certificate Services
AD DS,Active Directory Domain Services
AD FS,Active Directory Federation Services
AES,Advanced Encryption Standard
AGAO,Australian Government Access Only
AH,Authentication Header
AI,artificial intelligence
AISEP,Australian Information Security Evaluation Program
API,application programming interface
ASD,Australian Signals Directorate
ASIO,Australian Security Intelligence Organisation
ATA,Advanced Technology Attachment
AUSTEO,Australian Eyes Only
BGP,Border Gateway Protocol
CA,Certification Authority
CCRA,Common Criteria Recognition Arrangement
CDN,content delivery network
CDS,Cross Domain Solution
CISO,chief information security officer
CRQC,cryptographically relevant quantum computer
DAST,dynamic application security testing
DH,Diffie-Hellman
DKIM,DomainKeys Identified Mail
DMA,Direct Memory Access
DMARC,"Domain-based Message Authentication, Reporting and Conformance"
DNS,Domain Name System
EAL,Evaluation Assurance Level
EAP,Extensible Authentication Protocol
EAP-TLS,Extensible Authentication Protocol-Transport Layer Security
ECDH,Elliptic Curve Diffie-Hellman
ECDSA,Elliptic Curve Digital Signature Algorithm
EDR,Endpoint Detection and Response
EEPROM,electrically erasable programmable read-only memory
EPROM,erasable programmable read-only memory
ESP,Encapsulating Security Payload
FIPS,Federal Information Processing Standard
FT,Fast Basic Service Set Transition
HACE,High Assurance Cryptographic Equipment
HIPS,Host-based Intrusion Prevention System
HMAC,Hashed Message Authentication Code
HTML,Hypertext Markup Language
HTTP,Hypertext Transfer Protocol
HTTPS,Hypertext Transfer Protocol Secure
IEC,International Electrotechnical Commission
IKE,Internet Key Exchange
IP,Internet Protocol
IPsec,Internet Protocol Security
IPv4,Internet Protocol version 4
IPv6,Internet Protocol version 6
IR,infrared
IRAP,Infosec Registered Assessors Program
ISM,Information security manual
ISO,International Organization for Standardization
IT,information technology
LAN,Local Area Network
MAC,Media Access Control
MFD,multifunction device
ML-DSA,Module-Lattice-Based Digital Signature Algorithm
ML-KEM,Module-Lattice-Based Key Encapsulation Mechanism
MTA-STS,Mail Transfer Agent Strict Transport Security
NAA,National Archives of Australia
NIDS,Network-based Intrusion Detection System
NIPS,Network-based Intrusion Prevention System
NIST,National Institute of Standards and Technology
OT,operational technology
OWASP,Open Worldwide Application Security Project
PDF,Portable Document Format
PFS,Perfect Forward Secrecy
PMK,Pairwise Master Key
PP,Protection Profile
PRF,pseudorandom function
RADIUS,Remote Access Dial-In User Service
REL,Releasable To
RF,radio frequency
ROA,Route Origin Authorization
ROV,Route Origin Verification
RPKI,Resource Public Key Infrastructure
RSA,Rivest-Sharmir-Adleman
SAST,static application security testing
SCA,software composition analysis
SCEC,Security Construction and Equipment Committee
SHA-2,Secure Hashing Algorithm 2
SHA-3,Secure Hashing Algorithm 3
SIEM,Security Information and Event Management
S/MIME,Secure/Multipurpose Internet Mail Extension
SMB,Server Message Block
SNMP,Simple Network Management Protocol
SOAR,"Security Orchestration, Automation and Response"
SOE,Standard Operating Environment
SP,Special Publication
SPF,Sender Policy Framework
SPN,Service Principal Name
SQL,Structured Query Language
SSH,Secure Shell
SSID,Service Set Identifier
TLS,Transport Layer Security
UEFI,Unified Extensible Firmware Interface
USB,Universal Serial Bus
VLAN,Virtual Local Area Network
VPN,Virtual Private Network
WAF,web application firewall
WPA2,Wi-Fi Protected Access 2
WPA3,Wi-Fi Protected Access 3
XOF,extendable-output function
