change_id,change_date,citizen_id,reason_code,score_delta,recorded_by_officer_id
CH-0000001,2026-06-03,PR-02855,SC-013,-73,OFC-143
CH-0000002,2026-02-09,PR-01257,TR-060,-1,OFC-223
CH-0000003,2026-05-24,PR-02866,EM-030,9,OFC-179
CH-0000004,2026-06-19,PR-01949,CL-090,-13,OFC-181
CH-0000005,2026-06-29,PR-01022,NW-070,13,OFC-128
CH-0000006,2026-03-03,PR-02746,HE-051,-15,OFC-221
CH-0000007,2026-06-16,PR-02134,FN-041,-6,OFC-241
CH-0000008,2026-02-04,PR-01668,CV-021,-52,OFC-158
CH-0000009,2026-03-01,PR-02787,EM-030,12,OFC-249
CH-0000010,2026-03-06,PR-01647,SC-010,8,OFC-151
CH-0000011,2026-01-12,PR-01782,HE-050,9,OFC-125
CH-0000012,2026-01-09,PR-00119,AP-081,-8,OFC-169
CH-0000013,2026-03-19,PR-01514,CV-020,9,OFC-136
CH-0000014,2026-01-31,PR-01301,EM-031,-22,OFC-175
CH-0000015,2026-01-30,PR-01045,NW-070,17,OFC-167
CH-0000016,2026-02-02,PR-01461,SC-010,5,OFC-109
CH-0000017,2026-04-20,PR-00473,AP-080,36,OFC-235
CH-0000018,2026-06-18,PR-00222,NW-070,17,OFC-224
CH-0000019,2026-03-31,PR-01938,PR-110,2,OFC-157
CH-0000020,2026-03-20,PR-02539,SR-102,5,OFC-170
CH-0000021,2026-02-17,PR-02890,NW-071,-19,OFC-133
CH-0000022,2026-06-29,PR-01086,EM-031,-18,OFC-160
CH-0000023,2026-02-18,PR-01502,SC-013,-73,OFC-246
CH-0000024,2026-06-09,PR-01522,EM-030,12,OFC-204
CH-0000025,2026-04-07,PR-00489,AP-080,34,OFC-181
CH-0000026,2026-03-16,PR-00991,SC-010,9,OFC-245
CH-0000027,2026-02-16,PR-00540,FN-041,-7,OFC-168
CH-0000028,2026-06-25,PR-02308,CV-001,5,OFC-128
CH-0000029,2026-04-14,PR-02235,SC-012,-15,OFC-129
CH-0000030,2026-06-06,PR-01073,SC-013,-75,OFC-159
CH-0000031,2026-06-06,PR-00459,SR-102,7,OFC-209
CH-0000032,2026-04-13,PR-01908,SR-100,-55,OFC-107
CH-0000033,2026-02-03,PR-02226,SC-012,-17,OFC-106
CH-0000034,2026-02-22,PR-00326,FN-040,3,OFC-119
CH-0000035,2026-01-09,PR-01413,NW-072,-12,OFC-172
CH-0000036,2026-01-04,PR-00176,HE-050,4,OFC-146
CH-0000037,2026-01-31,PR-01570,TR-060,0,OFC-162
CH-0000038,2026-02-08,PR-02590,CV-003,-57,OFC-148
CH-0000039,2026-06-02,PR-00665,CV-001,6,OFC-128
CH-0000040,2026-03-08,PR-00671,CL-090,-14,OFC-197
CH-0000041,2026-03-16,PR-02174,HE-051,-18,OFC-159
CH-0000042,2026-04-04,PR-01943,AP-080,37,OFC-126
CH-0000043,2026-01-21,PR-01720,PR-110,2,OFC-216
CH-0000044,2026-06-14,PR-01588,SR-102,7,OFC-132
CH-0000045,2026-06-08,PR-02199,AP-081,-3,OFC-133
CH-0000046,2026-01-28,PR-02347,TR-062,1,OFC-202
