event_id,timestamp,citizen_id,location_id,event_type,flagged,severity,duration_seconds
EVT-202604-000001,2026-04-17 00:06:49,PR-01439,LOC-006,Smartcard,N,0,3
EVT-202604-000002,2026-04-03 22:03:37,PR-00522,LOC-015,CCTV-FR,N,0,6
EVT-202604-000003,2026-04-09 09:42:50,PR-01296,LOC-023,ANPR,N,0,5
EVT-202604-000004,2026-04-17 07:29:19,PR-01443,LOC-019,Geolocation,Y,2,29
EVT-202604-000005,2026-04-24 07:50:20,PR-01348,LOC-008,ANPR,N,0,1
EVT-202604-000006,2026-04-09 19:37:27,PR-00881,LOC-007,CCTV-FR,N,0,5
EVT-202604-000007,2026-04-16 11:25:24,PR-02908,LOC-018,Geolocation,N,0,86
EVT-202604-000008,2026-04-30 02:32:00,PR-01439,LOC-014,CCTV-FR,Y,1,173
EVT-202604-000009,2026-04-02 08:59:20,PR-00949,LOC-020,Utilities,N,0,3
EVT-202604-000010,2026-04-22 21:55:56,PR-01866,LOC-008,ANPR,N,0,4
EVT-202604-000011,2026-04-13 00:10:55,PR-00499,LOC-025,CCTV-FR,N,0,74
EVT-202604-000012,2026-04-16 08:05:52,PR-01084,LOC-017,CCTV-FR,N,0,105
EVT-202604-000013,2026-04-19 22:51:25,PR-02903,LOC-016,CCTV-FR,N,0,79
EVT-202604-000014,2026-04-06 12:20:54,PR-00829,LOC-023,ANPR,N,0,4
EVT-202604-000015,2026-04-14 14:19:01,PR-01185,LOC-026,Smartcard,N,0,4
EVT-202604-000016,2026-04-28 05:46:11,PR-02399,LOC-016,CCTV-FR,Y,3,108
EVT-202604-000017,2026-04-05 07:32:17,PR-00269,LOC-004,Biometric,N,0,7
EVT-202604-000018,2026-04-22 18:01:05,PR-02511,LOC-020,Utilities,N,0,8
EVT-202604-000019,2026-04-09 06:54:20,PR-00743,LOC-006,Smartcard,Y,2,4
EVT-202604-000020,2026-04-24 17:25:11,PR-02708,LOC-009,ANPR,N,0,8
EVT-202604-000021,2026-04-30 23:17:28,PR-01996,LOC-007,CCTV-FR,N,0,152
EVT-202604-000022,2026-04-14 06:27:00,PR-01086,LOC-001,ANPR,N,0,4
EVT-202604-000023,2026-04-27 01:21:54,PR-02294,LOC-006,Smartcard,N,0,3
EVT-202604-000024,2026-04-29 21:28:31,PR-01786,LOC-012,ANPR,N,0,7
EVT-202604-000025,2026-04-24 13:56:16,PR-90001,LOC-019,Geolocation,N,0,114
EVT-202604-000026,2026-04-10 19:10:38,PR-00812,LOC-007,CCTV-FR,Y,1,131
EVT-202604-000027,2026-04-10 02:36:37,PR-02516,LOC-026,Smartcard,N,0,8
EVT-202604-000028,2026-04-23 13:32:25,PR-00122,LOC-006,Smartcard,N,0,6
EVT-202604-000029,2026-04-04 15:18:44,PR-01864,LOC-028,ANPR,Y,2,2
EVT-202604-000030,2026-04-02 08:23:02,PR-01187,LOC-021,CCTV-FR,N,0,133
EVT-202604-000031,2026-04-10 14:22:18,PR-01860,LOC-006,Smartcard,N,0,3
EVT-202604-000032,2026-04-13 03:57:50,PR-02849,LOC-001,ANPR,Y,2,4
EVT-202604-000033,2026-04-07 12:05:58,PR-01375,LOC-010,Biometric,N,0,5
EVT-202604-000034,2026-04-10 13:13:51,PR-01503,LOC-014,CCTV-FR,N,0,21
EVT-202604-000035,2026-04-05 12:45:28,PR-02976,LOC-016,CCTV-FR,N,0,135
EVT-202604-000036,2026-04-02 13:49:51,PR-02030,LOC-028,ANPR,N,0,8
EVT-202604-000037,2026-04-08 23:39:14,PR-00238,LOC-001,ANPR,Y,3,3
EVT-202604-000038,2026-04-16 13:33:22,PR-02691,LOC-021,CCTV-FR,N,0,76
EVT-202604-000039,2026-04-04 22:01:46,PR-00343,LOC-021,CCTV-FR,N,0,41
EVT-202604-000040,2026-04-13 02:13:51,PR-00123,LOC-018,Geolocation,N,0,61
EVT-202604-000041,2026-04-19 10:28:42,PR-00857,LOC-008,ANPR,N,0,3
EVT-202604-000042,2026-04-07 01:12:40,PR-01532,LOC-002,ANPR,N,0,8
EVT-202604-000043,2026-04-12 15:35:46,PR-00663,LOC-029,Biometric,N,0,5
EVT-202604-000044,2026-04-08 17:40:00,PR-00412,LOC-013,Smartcard,Y,2,2
EVT-202604-000045,2026-04-16 18:40:50,PR-01694,LOC-002,ANPR,N,0,1
EVT-202604-000046,2026-04-10 04:17:55,PR-02580,LOC-004,Biometric,N,0,4
EVT-202604-000047,2026-04-18 18:57:56,PR-00793,LOC-002,ANPR,N,0,8
EVT-202604-000048,2026-04-20 23:57:07,PR-01076,LOC-011,Smartcard,N,0,8
