search_id,timestamp,citizen_id,category,flagged_category,device_type
SR-0000001,2026-06-12 16:00:00,PR-00237,Encryption software,Y,Public Library Terminal
SR-0000002,2026-06-23 18:55:00,PR-00213,Entertainment,N,Skills Institute Terminal
SR-0000003,2026-01-24 02:38:00,PR-02483,Entertainment,N,Phone
SR-0000004,2026-04-04 21:31:00,PR-01865,Shopping,N,Phone
SR-0000005,2026-01-04 15:12:00,PR-02571,Shopping,N,Public Library Terminal
SR-0000006,2026-03-27 12:19:00,PR-00272,Foreign news,Y,Laptop
SR-0000007,2026-06-06 15:35:00,PR-01099,Score appeal process,Y,Phone
SR-0000008,2026-02-26 17:01:00,PR-02721,Cultural and religious gatherings,Y,Phone
SR-0000009,2026-02-20 07:11:00,PR-02012,Travel domestic (permitted),N,Phone
SR-0000010,2026-06-26 20:09:00,PR-02833,Local news,N,Phone
SR-0000011,2026-01-27 19:17:00,PR-02923,Banned political parties,Y,Public Library Terminal
SR-0000012,2026-01-10 05:13:00,PR-02482,Sports,N,Laptop
SR-0000013,2026-04-11 20:03:00,PR-01571,Recipes,N,Laptop
SR-0000014,2026-04-10 14:24:00,PR-02737,Weather,N,Phone
SR-0000015,2026-04-27 03:06:00,PR-00641,Recipes,N,Laptop
SR-0000016,2026-05-02 00:01:00,PR-02578,Entertainment,N,Phone
SR-0000017,2026-06-04 21:10:00,PR-02764,Shopping,N,Public Library Terminal
SR-0000018,2026-03-27 05:44:00,PR-02129,Health,N,Phone
SR-0000019,2026-05-04 00:06:00,PR-00780,Health,N,Phone
SR-0000020,2026-03-31 11:41:00,PR-02716,Local news,N,Skills Institute Terminal
SR-0000021,2026-03-03 02:29:00,PR-02080,Encryption software,Y,Laptop
SR-0000022,2026-01-31 14:55:00,PR-01578,Foreign news,Y,Laptop
SR-0000023,2026-01-29 00:25:00,PR-02135,Recipes,N,Phone
SR-0000024,2026-06-28 10:54:00,PR-01097,Foreign news,Y,Phone
SR-0000025,2026-06-06 04:07:00,PR-02066,Entertainment,N,Public Library Terminal
SR-0000026,2026-06-27 14:04:00,PR-02906,Entertainment,N,Phone
SR-0000027,2026-01-27 16:23:00,PR-01745,Shopping,N,Public Library Terminal
SR-0000028,2026-04-05 16:00:00,PR-02881,Entertainment,N,Phone
SR-0000029,2026-06-12 03:24:00,PR-02339,Health,N,Phone
SR-0000030,2026-05-29 15:26:00,PR-02911,Local news,N,Public Library Terminal
SR-0000031,2026-04-23 06:19:00,PR-00269,Local news,N,Laptop
SR-0000032,2026-01-06 18:14:00,PR-01430,Shopping,N,Laptop
SR-0000033,2026-03-12 03:51:00,PR-02851,Local news,N,Phone
SR-0000034,2026-01-07 20:47:00,PR-01602,Emigration procedures,Y,Phone
