event_id,timestamp,citizen_id,cam_id,event_type,flagged,severity,duration_seconds
EVT-202603-000001,2026-03-25T23:03:17,PR-02201,LOC-010,Biometric,N,0,2
EVT-202603-000002,2026-03-23T06:13:17,PR-00378,LOC-014,CCTV-FR,N,0,32
EVT-202603-000003,2026-03-04T07:38:13,PR-00640,LOC-029,Biometric,N,0,8
EVT-202603-000004,2026-03-03T15:36:34,PR-00795,LOC-013,Smartcard,N,0,4
EVT-202603-000005,2026-03-29T15:19:41,PR-01523,LOC-018,Geolocation,N,0,88
EVT-202603-000006,2026-03-28T04:17:48,PR-00824,LOC-004,Biometric,N,0,6
EVT-202603-000007,2026-03-26T03:51:56,PR-02540,LOC-025,CCTV-FR,N,0,75
EVT-202603-000008,2026-03-29T20:43:39,PR-02299,LOC-028,ANPR,N,0,8
EVT-202603-000009,2026-03-10T13:44:49,PR-02617,LOC-001,ANPR,N,0,1
EVT-202603-000010,2026-03-25T23:17:57,PR-00221,LOC-004,Biometric,N,0,2
EVT-202603-000011,2026-03-16T01:36:40,PR-00818,LOC-008,ANPR,N,0,3
EVT-202603-000012,2026-03-04T12:52:15,PR-01622,LOC-005,Biometric,Y,2,7
EVT-202603-000013,2026-03-15T09:55:51,PR-00358,LOC-012,ANPR,N,0,6
EVT-202603-000014,2026-03-09T19:15:40,PR-00668,LOC-013,Smartcard,Y,1,7
EVT-202603-000015,2026-03-10T23:23:56,PR-02547,LOC-022,CCTV-FR,Y,3,161
EVT-202603-000016,2026-03-21T05:19:40,PR-01761,LOC-015,CCTV-FR,N,0,168
EVT-202603-000017,2026-03-28T01:05:19,PR-02009,LOC-028,ANPR,N,0,8
EVT-202603-000018,2026-03-29T05:47:24,PR-00148,LOC-026,Smartcard,N,0,8
EVT-202603-000019,2026-03-22T04:32:39,PR-01275,LOC-029,Biometric,N,0,7
EVT-202603-000020,2026-03-02T08:26:15,PR-01628,LOC-019,Geolocation,N,0,112
EVT-202603-000021,2026-03-24T19:29:48,PR-00773,LOC-009,ANPR,N,0,7
