event_id,timestamp,citizen_id,location_id,event_type,flagged,severity,duration_seconds
EVT-202606-000001,2026-06-24T21:48:54,PR-01864,LOC-012,ANPR,N,0,1
EVT-202606-000002,2026-06-23T19:09:56,PR-00752,LOC-010,Biometric,N,0,7
EVT-202606-000003,2026-06-02T08:41:30,PR-00190,LOC-014,CCTV-FR,N,0,154
EVT-202606-000004,2026-06-03T09:49:38,PR-01555,LOC-024,ANPR,N,0,2
EVT-202606-000005,2026-06-03T03:48:07,PR-02437,LOC-014,CCTV-FR,N,0,48
EVT-202606-000006,2026-06-22T19:38:18,PR-01426,LOC-027,Biometric,N,0,4
EVT-202606-000007,2026-06-28T04:50:39,PR-02407,LOC-030,Biometric,N,0,2
EVT-202606-000008,2026-06-05T11:30:23,PR-01480,LOC-015,CCTV-FR,N,0,43
EVT-202606-000009,2026-06-03T07:14:40,PR-01208,LOC-018,Geolocation,N,0,151
EVT-202606-000010,2026-06-10T06:42:24,PR-02984,LOC-014,CCTV-FR,N,0,68
EVT-202606-000011,2026-06-12T04:22:32,PR-02152,LOC-011,Smartcard,N,0,3
EVT-202606-000012,2026-06-04T03:53:58,PR-00570,LOC-009,ANPR,N,0,5
EVT-202606-000013,2026-06-24T07:58:23,PR-01439,LOC-030,Biometric,Y,3,5
EVT-202606-000014,2026-06-21T14:34:09,PR-01881,LOC-008,ANPR,N,0,4
EVT-202606-000015,2026-06-15T07:51:05,PR-00009,LOC-005,Biometric,N,0,2
EVT-202606-000016,2026-06-06T11:10:22,PR-00839,LOC-013,Smartcard,N,0,6
EVT-202606-000017,2026-06-26T21:12:43,PR-00197,LOC-009,ANPR,Y,1,7
EVT-202606-000018,2026-06-13T06:32:10,PR-00308,LOC-025,CCTV-FR,N,0,56
EVT-202606-000019,2026-06-03T12:08:00,PR-02320,LOC-028,ANPR,N,0,4
EVT-202606-000020,2026-06-07T17:34:37,PR-01224,LOC-023,ANPR,N,0,1
EVT-202606-000021,2026-06-25T18:28:20,PR-00450,LOC-022,CCTV-FR,N,0,129
EVT-202606-000022,2026-06-24T18:23:05,PR-01142,LOC-005,Biometric,N,0,4
EVT-202606-000023,2026-06-12T13:54:39,PR-00564,LOC-028,ANPR,N,0,7
EVT-202606-000024,2026-06-04T21:51:06,PR-01726,LOC-028,ANPR,N,0,8
EVT-202606-000025,2026-06-30T22:42:22,PR-01367,LOC-007,CCTV-FR,N,0,134
EVT-202606-000026,2026-06-27T00:13:51,PR-01214,LOC-030,Biometric,N,0,3
EVT-202606-000027,2026-06-28T17:36:22,PR-00789,LOC-024,ANPR,N,0,7
EVT-202606-000028,2026-06-25T11:24:09,PR-00624,LOC-007,CCTV-FR,N,0,95
EVT-202606-000029,2026-06-20T04:53:36,PR-00984,LOC-002,ANPR,N,0,1
EVT-202606-000030,2026-06-08T02:58:07,PR-02061,LOC-006,Smartcard,N,0,1
EVT-202606-000031,2026-06-18T05:49:41,PR-02557,LOC-025,CCTV-FR,N,0,104
EVT-202606-000032,2026-06-15T02:36:58,PR-00697,LOC-007,CCTV-FR,N,0,99
EVT-202606-000033,2026-06-17T23:09:26,PR-02971,LOC-022,CCTV-FR,N,0,21
EVT-202606-000034,2026-06-21T06:27:46,PR-01649,LOC-027,Biometric,N,0,3
EVT-202606-000035,2026-06-24T21:53:45,PR-01464,LOC-021,CCTV-FR,N,0,159
